PC1,PC2,label
-0.486010,1.226174,5
-3.967523,1.156303,0
0.203332,-1.537934,4
3.133832,2.381166,1
1.501000,-2.864874,9
-0.723407,-0.867968,2
2.849074,0.615629,1
-2.013117,1.218719,3
3.407478,0.319793,1
1.195022,-1.825870,4
0.573343,2.523239,3
2.407213,0.954403,5
-1.097725,3.257600,3
-0.940946,-0.591095,6
3.388469,0.901027,1
0.537361,-3.422117,7
-0.366091,-0.011100,2
1.516694,0.990179,8
0.824018,0.775841,6
3.082580,-0.306563,9
-1.327065,-1.964256,4
-4.069221,1.391882,0
2.547707,-0.791153,9
3.167511,2.069489,1
1.051732,1.131189,1
-3.008025,4.134453,2
2.367048,-1.673404,4
-3.100573,2.407038,3
-1.407757,-0.835715,2
2.548442,-0.481364,7
1.137158,0.206075,3
0.859661,2.511189,8
0.058739,-0.346861,6
2.400089,-0.727619,9
-2.393304,0.940352,0
2.341189,0.775618,5
-0.222911,0.913293,6
-3.662273,0.954158,0
1.335160,-2.268256,7
-0.968150,-1.144336,6
3.895313,1.360354,1
0.675033,1.307233,8
2.932290,-1.396358,7
2.664100,-0.010511,9
1.917233,0.096255,3
1.022475,-3.404608,9
0.897482,0.277961,8
0.991213,0.600979,5
1.057584,0.200144,9
-1.055953,2.928352,3
0.281860,2.979016,3
-6.525339,0.356131,0
-1.010882,-4.040099,7
2.949864,0.576155,4
0.695615,-3.209880,9
0.653888,-0.639680,8
-5.189315,-0.041164,0
2.156506,-2.340799,9
-1.058498,-2.461373,4
3.041664,2.937145,1
-1.710694,-1.713745,4
2.407490,0.189935,4
-1.091365,1.484063,6
-4.715933,1.015744,0
-2.262725,-2.052496,4
2.315734,1.561043,5
-0.952246,0.918073,6
3.700420,2.067744,1
-0.807901,2.071287,0
-4.830926,0.603670,0
0.887917,2.018256,1
1.593109,-1.620959,7
3.632023,1.147051,1
0.384538,0.555482,6
0.219984,1.382222,3
-3.314760,1.631494,0
1.344549,3.583750,2
3.413343,2.849711,1
3.537585,1.923443,1
1.759585,-1.039833,7
-2.016257,1.620633,9
-4.180434,0.875030,0
-4.005890,2.204276,2
-0.841824,0.128767,6
1.090390,-2.733840,7
0.704801,1.461105,8
1.050368,0.085465,3
0.609501,-3.603342,9
-4.616592,1.339102,0
-0.266412,-3.463305,4
-2.171057,-0.829275,6
0.571995,-2.582869,7
0.726250,-2.202582,4
-0.640102,0.901322,6
0.798270,0.586611,8
-4.846456,0.727447,0
2.581517,-2.324060,7
0.536634,0.560970,8
0.622789,1.760818,3
3.638667,1.564655,1
1.225468,-0.568566,5
0.163288,-2.828478,7
3.399776,1.176380,1
1.239568,-3.130546,7
2.814570,0.131405,1
3.442738,3.228151,1
-1.845410,0.405471,6
-1.006271,2.522291,3
-1.757965,1.633653,0
0.728220,-0.669102,2
-0.253586,-2.337991,9
-2.929560,-0.831721,3
3.905087,1.081162,1
3.065926,3.536823,1
-5.376724,0.000999,0
0.633877,-3.243114,4
0.236251,-4.045037,9
-2.481389,2.337077,2
-3.106962,1.074373,0
-5.378660,1.372712,0
-2.263969,-0.854929,2
-6.045503,3.069060,0
1.339123,1.958477,2
0.679336,-2.828202,7
3.642274,1.394858,1
0.822451,2.198481,8
-1.231267,0.121915,6
0.985184,-1.254215,4
3.620687,1.776188,1
0.369020,1.664290,6
1.140302,1.517156,3
0.307100,-2.329410,4
2.079081,1.190466,5
2.925450,-1.376134,9
0.904412,-0.595604,1
-0.019145,2.480116,3
1.362262,1.830135,3
2.180087,2.048480,8
-2.176069,2.630004,5
0.935575,-2.106981,4
2.651385,0.048941,7
2.033437,-0.266930,7
1.082158,-2.583264,4
0.974679,-0.466452,2
1.324269,1.168475,8
1.501396,-0.026877,5
-0.205677,2.525921,8
0.587614,-0.807653,6
1.585166,-1.223221,7
-1.293394,2.254413,3
1.296516,-0.594782,4
-1.164775,-0.872977,6
3.442071,2.351503,1
2.710179,-0.893714,9
0.251854,-2.779628,9
-0.607787,0.021852,6
-3.015900,0.216836,0
-0.872419,1.834612,3
0.105065,-1.444145,7
-0.772464,0.206316,2
1.217716,-0.408497,8
-2.444202,3.711195,2
1.134913,-2.830319,9
1.653071,-0.997873,4
-2.400242,-2.577736,4
-0.475713,0.541669,6
1.445959,-2.192616,4
0.469853,-3.024642,9
2.644066,0.512501,7
-4.010971,1.222425,0
0.793484,-3.373755,9
-1.517826,0.911882,2
0.071422,-3.555175,9
2.690327,0.977253,5
3.846645,1.467983,1
1.274207,0.801450,5
2.078751,-1.630233,9
3.628875,2.274609,1
-1.465138,-0.002816,2
-2.698023,1.181149,3
2.813674,1.400332,2
-0.997037,-1.729443,3
-2.195054,2.323225,5
1.231065,-3.737459,9
3.224530,0.834106,1
-0.224046,-3.118876,7
0.314379,0.407708,6
-2.492452,4.491424,2
-0.625651,-0.769424,8
-0.542306,0.266150,2
-0.283198,2.808101,2
1.599640,0.294634,5
-4.790557,0.541420,0
0.052411,-2.784966,7
-1.309948,-3.567270,4
1.373264,-1.079504,9
-1.315454,-3.819686,7
1.704799,2.006117,8
0.767080,2.531841,3
-0.137936,-1.564581,2
2.755033,0.472687,1
2.952212,1.912747,1
0.991455,1.239150,8
-0.707935,-0.392402,3
1.124936,-1.182049,6
3.007999,3.059269,1
-4.317354,1.481355,0
-0.777550,-0.902643,3
3.870492,1.885267,1
-5.184677,2.645193,0
-1.091708,0.326882,0
3.783943,2.507110,1
2.331033,-1.207548,7
-1.527518,1.227301,2
-0.824654,-3.484216,7
-1.169732,3.422540,3
-2.379109,0.036113,0
0.209140,-2.677709,4
-0.651625,0.344970,6
-0.959491,0.882314,5
-1.495482,2.872098,2
-2.971477,-1.252245,6
-2.797444,-1.849842,4
0.465632,-3.293014,7
0.042661,-0.343097,1
-1.151005,1.718593,8
1.546465,-2.633668,9
1.900365,-2.087341,9
0.879993,-0.475786,3
-4.135905,0.679232,0
1.589889,-2.117997,7
3.717466,2.736906,1
-0.441638,-0.300790,0
-0.432552,0.574986,2
-3.511795,0.506091,0
-0.897014,2.697007,3
0.113464,0.633481,5
0.223193,-3.395969,4
-0.715458,-1.127420,6
0.039676,1.020026,5
2.864196,0.595391,8
-3.105762,-1.908572,6
-2.555844,3.726268,3
0.331756,-4.395545,7
-3.694898,0.470472,5
-0.232743,1.998485,8
-0.735186,1.181606,0
1.761599,-1.814263,9
2.393948,0.778509,1
-3.638955,1.655305,0
0.515369,-0.885045,3
3.943147,2.019419,1
1.435265,3.115442,2
-2.540100,0.807968,2
-0.586349,2.425834,3
-0.320082,2.656182,3
2.763066,1.804977,6
0.536316,-2.985551,4
2.128598,-1.347509,7
0.431340,-0.222373,5
0.354294,-0.509809,0
-2.010453,-1.436489,6
-0.086979,1.367797,2
0.298985,-4.156117,7
0.682968,-1.601704,9
-0.700060,0.594919,8
-1.197870,3.015858,5
1.869404,-2.028622,9
2.003512,-1.551776,2
3.569857,2.954662,1
3.420845,1.416472,1
1.649549,-1.954171,4
-0.695175,-3.570944,4
0.299387,0.978462,5
0.709887,1.968634,6
-0.247436,-3.061275,4
3.850082,1.347620,1
-2.290601,0.702360,2
-1.055153,2.383473,5
-0.564086,1.048782,3
2.039010,-2.510114,9
-1.187552,2.405217,3
0.912457,-1.772536,9
-6.763496,1.839767,0
-1.697715,1.988964,5
2.010996,-1.527991,9
-2.328229,0.250449,6
1.847351,0.426488,5
1.775582,-3.022241,7
1.199735,-2.553326,4
3.831587,2.426056,1
0.848112,2.980379,3
1.616981,-1.068444,4
-7.659008,1.867292,0
-2.015629,-2.478412,4
1.054379,2.131785,8
-4.465672,0.676352,0
0.233496,-3.046650,4
-0.899043,2.593890,3
-2.050783,-1.342419,6
2.450941,1.401543,8
0.881548,-3.584214,7
0.084453,0.417417,6
-6.702733,1.940866,0
1.856106,-1.586286,9
1.354933,-2.679726,7
-2.255396,0.798210,5
1.764570,-2.522384,7
-1.873203,1.264923,2
3.369683,2.910556,1
3.737587,1.219948,1
-2.093956,-1.307228,6
-0.388254,-0.087743,8
